PROFESSOR_NO,PROFESSOR_NAME,PROFESSOR_SSN,PROFESSOR_ADDRESS,DEPARTMENT_NO
P057,홍인표,590221-1144002,"서울 구로구 고척1동53-4 동아한신(A) 101동403호",028
P058,이협수,671224-1158811,"서울 동작구 흑석1동238-89  동림빌라301호",016
P059,김계선,521201-2171276,"관악구 봉천10동41-538",019
P060,김소영,600801-1162117,"인천광역시 남동구 논현동 논현주공A 210동502호",034
P061,전소운,710405-1151782,"서울 관악구 봉천5동480-18",039
P062,권정희,670326-2163777,"서울 강서구 화곡8동 396-9",015
P063,최요한,500830-1114517,"경기남양주시 진접읍 장현5리593 동부주택2동207호",010
P064,이도현,481120-1142862,"서울 중랑구 중화3동331-97",016
P065,서미화,491130-2132299,"경기도 수원시 장안구 영화동417-14",060
P066,김경미,650816-2115415,"경기 하남 창우동521 꿈동산신안아파트412-1403호",009
P067,하정균,700510-1161234,"서울 동대문구 용두2동234-51",053
P068,심석천,570825-1121645,"서울 관악구 신림9동251-328",022
P069,허문표,640128-1161965,"경기도 의정부시 용현동 건영A 107-104",007
P070,전오원,490222-1106281,"서울 노원구 상계3동 현대아파트105동2104호",053
P071,김선필,490114-1144781,"서울 중구 을지로5가77-13 골목식당",026
P072,양준호,680309-1122192,"경기 남양주시와부읍덕소리110-1 주공 A 101-301",021
P073,서주연,490205-2117911,"서울 강서구 화곡4동 803-21호",033
P074,석애영,641208-2157814,"경기도 시흥시 조남동502-3번지",010
P075,강혁,601004-1100528,"경기 성남시 수정구 태평2동970번지",021
P076,최국열,561130-1136452,"서울 관악구 신림8동561-10",044
P077,이경수,670208-1176588,"서울 중랑구 면목7동339-36",023
P078,이주진,540810-1100589,"경기도 평택시 서정동592-17    7/1",017
P079,신영호,780501-1111908,"서울 도봉구창2동804-4   대우A 106동1302호",006
P080,박지평,760210-1108526,"인천시 계양구 임학동101   조광빌라2동101호",037
P081,김유림,540202-1118697,"경북 포항시 북구 흥해읍 초복동 146-1",012
P082,강현주,620601-2145319,"경북 경산시 진량읍 신상리 868 우방힐타운 101-1805",044
P083,오정현,561225-2105561,"경기도 시흥시 정왕동 한일아파트 109-401호",039
P084,김방현,641124-1150149,"전북 전주시 덕진구 송천동 롯데A 10-407",034
P085,김선희,551030-2159000,"전남 여수시 선원동 남양A 201-406",005
P086,추민정,541201-2159547,"서울시 송파구 문정동 115-11 대영빌라 나동 301",037
P087,이재호,571005-1144703,"경기도 용인시 역북동 군인아파트",045
P088,한상욱,600326-1173189,"경남 김해시 부원동 111-5 강남빌라 A-502",023
P089,김희민,511009-1164667,"서울시 강동구 천호3동 565 현대타워A 708",042
P090,홍재준,650828-1175232,"경기 동두천시 상패동 무궁화빌라 10-402",024
P091,이무룡,760219-1172702,"경기 시흥시 대야동 563 서해A 103-1903",024
P092,장재일,700816-1150492,"서울시 노원구 상계동 624 주공A 1503-1011",055
P093,민태영,600720-1169021,"경기도 수원시 권선구 금곡동 거산A 101-706",022
P094,김승주,561101-1174205,"경기도 성남시 분당구 야탑3동 211 매화마을 403-203",055
P095,노현주,650330-2117560,"서울시 영등포구 대림동 755-6",008
P096,이선영,740924-2147346,"전북 군산시 경암동 685-9",010
P097,이지현,610130-1117554,"경기도 고양시 일산구 주엽동 강선마을 동신아파트 406-704호",002
P098,김성균,621011-1137259,"경기도 성남시 분당구 서현동 시범단지 현대A 413-2801",038
P099,장윤실,521112-2163538,"서울시 마포구 공덕동 370-4 산업인력공단7층 중앙노동위원회",051
P100,박강아름,681201-2134896,"강원도 동해시 천곡동 242 4/3",057
P101,박철우,580405-1146127,"전북 전주시 완산구 서신동 쌍용A 602-806",050
P102,안세현,620303-1165733,"서울시 노원구 상계7동 757 한양A 2-303",015
P103,김태봉,760421-1134254,"경기도 수원시 팔달구 영통동 주공A 110-1806",018
P104,이종석,650604-1178491,"과천시 별양동 주공@ 410-703호",002
P105,김수경,720602-2107929,"경북 구미시 봉곡동 현대A 109-1205",010
P106,주영상,800707-1170344,"부산시 남구 감만2동 국제A 101-1082",025
P107,김정민,580305-1134249,"대전시 서구 만년동 281 상록수@106-203호",045
P108,최지선,560409-2113517,"경기도 부천시 원미구 상동 반달A 1821-609",055
P109,서준원,591010-1167110,"강원도 원주시 단구동 황수A 3-407",034
P110,임희도,700703-1109474,"서울시 강북구  미아9동 126-35",001
P111,정재우,711118-1144637,"경기도 고양시 덕양구 지축동 309-1 백운A",031
P112,금민정,520411-2126103,"서울시 노원구 상계7동 720 상계주공A 622-1205",040
P113,변해원,730809-1128142,"서울 강동구 고덕2동 157-7",059
P114,백혁호,570510-1123457,"서울 동대문구 휘경동 49-5번지 서울가든아파트 913호",058
