STUDENT_NO,DEPARTMENT_NO,STUDENT_NAME,STUDENT_SSN,STUDENT_ADDRESS,ENTRANCE_DATE,ABSENCE_YN,COACH_PROFESSOR_NO
A011090,013,문태구,820313-1164304,"제주 서귀포시 서홍동 302-2 한라빌라 지하가동",2000-03-01,N,P065
A011113,005,박태규,800604-1101623,"전남 순천시 연향동 현대ⓐ 102/404",2000-03-01,N,P035
A011132,004,손태빈,800828-1167728,"대전 서구 둔산동 한마루아파트 3-406",2000-03-01,N,P039
A011228,033,전태석,800731-1147179,"대전 서구 월평동311하나로@105/1105",2000-03-01,N,P089
A011242,025,정태우,801229-1175870,전주시완산구서신동961-72동아한일@120-301,2000-03-01,N,P032
A013022,058,김훈욱,801113-1116214,"경기도 부천시 소사구 송내동 390-22 한미쉐마빌 14동102호",2000-03-01,N,P030
A013035,009,나연우,820331-1179553,전주시완산구효자동1가364-3삼호아파트2-102,2000-03-01,Y,P042
A013045,016,박영광,800622-1165802,"전북 임실군 성수면 양지리 266-1",2000-03-01,N,P008
A013065,043,안영근,820901-1169018,"전주시 서신동 동아ⓐ 2차 201/401",2000-03-01,N,P051
A013073,037,엄영배,821002-1120173,"부안군 부안읍 서외리 건강보험 부안지사 211-4",2000-03-01,N,P039
A013116,030,채영빈,821125-1107147,전북전주시덕진구인후동2가1532-21,2000-03-01,N,P057
A015047,062,김종민,810324-1126609,"전주시 완산구 서신동 765-1 동아ⓐ 108/402",2000-03-01,N,P005
A015069,039,김종석,801104-1152334,"전주시 완산구 경원동 3가 17-9 문화B/D 2층 윈텍",2000-03-01,Y,P057
A015188,035,김종선,801209-1174036,"전주시 완산구 평화동 712-1 호동이 숯불촌",2000-03-01,N,P014
A015232,033,이종선,810317-1120870,"전주시 덕진구 인후1가 아중마을 부영APT 604/203",2000-03-01,N,P073
A015247,037,이진우,810412-1113890,"안양시 동안구 관양동 1461-10 신태양ⓐ 안양B/305",2000-03-01,N,P056
A015282,019,정종설,800216-1119485,"전주시 덕진구 금암동1605-19",2000-03-01,N,P095
A015307,010,최진아,800514-2173875,"서울시 강남구 삼성동 61-5 영빈빌라 가/201",2000-03-01,N,P023
A015308,044,최종연,810920-1176400,전주시덕진구우아동대우2차@205/803,2000-03-01,N,P060
A017039,042,김여주,800425-2162723,전주시완산구효자동1가637남양황졔아파트3-108,2000-03-01,Y,P084
A017062,001,노수미,811201-2115477,"전주시 완산구 중앙동 1가 22-6",2000-03-01,N,P052
A017068,016,문수은,800221-2178640,"전주시 완산구 효자동1가 금호타운 3/1402",2000-03-01,N,P112
A017085,005,박수진,810218-2158179,전주시덕진구중노송동447-4,2000-03-01,N,P037
A017174,021,이수진,800214-2103470,완주군삼레읍삼례리898-4,2000-03-01,N,P002
A017225,001,한수현,800107-2116319,"전주시 덕진구 송천동 신일ⓐ 104/1507",2000-03-01,Y,P016
A031013,043,고민건,820305-1113595,"서울시 서초구 방배3동 1007-2번지 새빛상가 203호",2000-03-01,Y,P050
A031019,001,권기환,811020-1117036,"경기도 성남시 분당구 분당동 122-2번지 202호",2000-03-01,N,P062
A031069,022,김김랑,820904-1102281,"서울시 영등포구 당산4가 74 광성연립 다-207호",2000-03-01,N,P094
A031070,025,김김훈,800110-1167672,"인천광역시 남동구 만수2동 867-20 스타맨션 401호",2000-03-01,N,P033
A031088,046,김나루,800401-2137363,"서울시 서대문구 홍제 2동 57-7 인왕빌라 2동 102호",2000-03-01,N,P105
A031101,010,남나리,821222-2127042,"경기도 광주시 송정동 560번지 이수아파트 103-206호",2000-03-01,N,P106
A031126,055,박나연,801022-1102410,"경기도 남양주시 와부읍 도곡리 986-1 두산위브 112-1102호",2000-03-01,N,P064
A031142,016,박남정,820617-2111019,"경기도 과천시 부림동 주공아파트 903-408호",2000-03-01,N,P072
A031179,024,신누리,820613-2156844,"경기도 군포시 내손동771 반도보라빌리지105-203",2000-03-01,N,P033
A031189,011,심다정,800117-2177338,"경기도 안양시 동안구 관양동 1437-17 2층화실",2000-03-01,N,P008
A031206,010,오대근,810722-1129861,"경기도 용인시 수지읍 상현리 서원마을 현대홈타운 206-103",2000-03-01,N,P041
A031215,032,윤대연,800620-1102305,"인천광역시 남동구 만수4동 주공아파트 313-401호",2000-03-01,N,P074
A031257,014,이대원,820221-1116284,"서울시 강남구 청담동 108번지 건영아파트 102-606호",2000-03-01,N,P102
A031263,041,이성신,800118-1169344,"영등포구 여의도동1번지 국회의원회관108 열우당 정책위원회",2000-03-01,N,P056
A031270,025,이대은,821224-2140928,"부산광역시 금정구 구서1동 유림노르웨이 아침아파트 2301호",2000-03-01,N,P097
A031290,005,임도란,811201-2169255,"서울시 영등포구 문래2동 미원아파트 102-202호",2000-03-01,N,P101
A031306,035,정도현,800801-1147562,"서울시 중랑구 망우동 132-1 3층",2000-03-01,N,P108
A031334,037,주완재,810312-1106406,서울관악구봉천동1685-28호9통4반203호,2000-03-01,Y,P025
A031341,009,차도홍,810405-1121262,"경기도 군포시 산본동 1052 주공아파트1106-503",2000-03-01,Y,P042
A031344,031,최도훈,800326-1120652,"경기도 성남시 분당구 이매동 아름마을 선경아파트 603-1404",2000-03-01,N,P039
A031347,048,최도희,800830-2174173,"경기도 고양시 덕양구 행신동 햇빛마을 동신아파트 2406-901",2000-03-01,N,P049
A031350,038,최동균,821120-1114520,"서울시 강서구 화곡3동 푸르지오아파트 109-1003호",2000-03-01,N,P109
A031424,038,양동민,801130-2114841,"경기도 성남시 분당구 서현동 87 시범현대아파트 428-2503호",2000-03-01,N,P103
A046016,051,김익헌,820118-1149173,"경기도 고양시 일산구 마두2동 백마마을삼성@ 108-604",2000-03-01,N,P007
A047005,057,김원규,800302-1113575,충북청원군강외면서평리29보영아파트504,2000-03-01,N,P055
A071007,024,김정석,810521-1151507,"서울시 송파구 신천동20-4 잠실진주ⓐ 1/414",2000-03-01,N,P045
A071041,026,인정성,810406-1128790,서울송파구석촌동222-3501호,2000-03-01,N,P081
A084080,034,이종엽,821011-1144979,"전주시 완산구중화산동한신코아@3동1305호",2000-03-01,N,P020
A098008,053,김동민,800816-1175067,"서울시 영등포구 당산동5가 삼성래미안아파트 401-2201호",2000-03-01,N,NULL
A111027,038,김태원,820106-1178826,"전주시 완산구 효자동1가 505-3 삼호ⓐ 3동 706호",2001-03-01,N,P052
A111048,007,김태원,810806-1119527,"전주시효자동1가260상산고등학교  T.063-223-5303",2001-03-01,N,P017
A111172,003,이태환,810609-1104818,"전주시 덕진구 금암동1가 712-5 기아자동차",2001-03-01,Y,P076
A111225,021,정하나,830119-2100452,NULL,2001-03-01,N,P105
A111232,020,주하나,820713-2130887,전북남원시보절면진기리1150-12,2001-03-01,N,P069
A112113,034,김고운,830218-2135633,"경기도 파주시 조리읍 동문그린시티 505-304호",2001-03-01,N,P022
A113070,044,이영식,820221-1114087,전주시덕진구동산동668-5,2001-03-01,N,P042
A113110,053,현흥진,821216-1164921,"경기도 문산시 부창동 대림@ 103/304 금천식당",2001-03-01,N,P089
A115006,014,고종원,810727-1103949,전주시완산구동완산동48-6,2001-03-01,N,P064
A115089,030,류종철,820707-1106987,서울동대문구전농동310-25,2001-03-01,N,P100
A115140,005,손종하,810801-1177278,"김제시요촌동47-24화타약국  T-542-8155",2001-03-01,N,P097
A115179,028,윤종학,830805-1156490,"전주시 인후1가 온고을 중학교",2001-03-01,N,P018
A115183,018,이종현,831015-1161439,"전주시 완산구 평화동1가 696 코오롱ⓐ 3/1205",2001-03-01,N,P041
A115194,045,이종화,820202-2124237,전북완주군구이면백여리604-2,2001-03-01,N,P039
A115203,019,이주미,810119-2123353,전북김제시요촌동293-20,2001-03-01,N,P097
A115208,034,이주석,811206-1142283,"전주시 덕진구 인후동 아중현대APT 101/1305",2001-03-01,N,NULL
A115234,022,정주영,810808-1165417,"전북 김제시 요촌동 신풍동 365 성산그린빌라101/702",2001-03-01,Y,P026
A115245,040,차주영,810117-1159023,전주시완산중노송동354-212,2001-03-01,N,P026
A115270,060,허주옥,820227-2149079,"전주시 평화동 평화중학교",2001-03-01,N,P087
A119097,051,이희경,830713-1166058,"서울 광진구 구의동 25-17 7/6",2001-03-01,N,P017
A122026,028,김하나,831211-2157256,김제시백학동84(전북기능대학교학처),2001-03-01,N,P071
A131004,062,강동연,820510-1103576,"경기도 의정부시 민락동 694 산들마을 대림아파트 404-1404",2001-03-01,N,P013
A131046,060,김동열,820825-1157383,"경기도 안산시 상록구 본오동 신안아파트 201-1005",2001-03-01,N,P015
A131067,003,김민정,810411-2178450,"서울시 송파구 방이동212-8 코오롱아파트105-405",2001-03-01,N,P104
A131105,040,문민정,820809-2157250,"경기도 수원시 팔달구 매탄1동 140-25번지 아뜨리에",2001-03-01,Y,P053
A131118,038,박동영,810128-1173197,"서울시 노원구 하계동 354 학여울 청구아파트 110-401",2001-03-01,N,P088
A131137,001,방민진,820510-2138836,"경기도 성남시 분당구 서현동 효자촌임광파트 313-602",2001-03-01,N,P023
A131138,017,방동오,820222-1163700,"경기도 용인시 수지 상현동 현대 성우5차 102-502호",2001-03-01,Y,P011
A131142,036,백동원,820114-1128965,"서울시 강동구 길동 388-4 다성이즈빌 1-202호",2001-03-01,N,P045
A131154,026,서성엽,810808-1104673,"경기도 군포시 산본동 수리 한양ⓐ 822/802",2001-03-01,Y,P078
A131164,012,송동윤,810309-2176416,"경기도 고양시 덕양구 화정1동 은빛마을 513-602호",2001-03-01,Y,P094
A131201,050,유동익,830205-1165972,"경기도 수원 팔달구 영통동 청명마을 대우아파트 305-304호",2001-03-01,N,P045
A131231,025,이동인,821208-1144026,"인천광역시 남동구 간석동 935 풍림아파트 101-2005",2001-03-01,N,P046
A131243,043,이민형,830315-1110772,"서울시 구로구 오류2동 108-1 화랑빌라 1-101",2001-03-01,Y,P017
A131333,045,진동인,831004-1166833,"서울시 구로구 구로5동 110-4 도림 두산베어스타워 2004호",2001-03-01,N,P107
A131338,016,최동준,821130-1153064,"부산광역시 북구 만덕3동 그린코아아파트 603-803",2001-03-01,N,P099
A131363,044,허민호,830224-1113331,"서울시 구로구 신도림동 대림7차아파트 804-2101",2001-03-01,N,P050
A131364,019,허동현,830208-1111484,"경기도 안산시 고잔동 744-4 203호",2001-03-01,N,P073
A146027,055,박인량,830804-1154644,"서울시 서초구 서초동1315번지진흥아파트1동1505",2001-03-01,N,P073
A147028,014,박원배,820107-1179108,부산북구금곡동98-1주공아파트203-108,2001-03-01,N,P009
A151028,019,임은성,830827-1119167,경기안양시동안구호계동1115샘마을아파트301-1401,2001-03-01,N,P025
A157006,045,김재필,810202-1138547,"경기도 용인시 구성읍 보정리 성원@110-302",2001-03-01,N,P036
A157032,041,전재현,820407-1138971,서울시동작구신대방동460-18기상청,2001-03-01,N,P105
A158011,027,남성준,830321-1173387,"대전 서구 가수원동 건양대부속병원 소화기내과",2001-03-01,Y,P019
A174030,027,정성훈,820610-1140202,"대전시 서구 둔산동 1509 크로바ⓐ상가 신태평양약국",2001-03-01,N,P045
A186008,023,김주학,830211-1163807,"경기도 군포시 당정동 339-12 (주)한미식품",2001-03-01,N,P060
A211112,046,박하나,820530-2129861,"전주시 완산구 대성동376",2002-03-01,N,P098
A211188,038,유하미,820514-2172832,"전주시 완산구 평화동2가 336-6 현대ⓐ 102/204",2002-03-01,N,P103
A211197,060,윤학준,830911-1160919,"전주시 덕진구호성동엘지동아@108-101 T.063-241-4840",2002-03-01,N,P067
A211272,051,정한메,831005-1159253,"전주시 완산구 서신동 현대@ 106-1204호 T.063-232-7202",2002-03-01,N,P082
A211278,010,조한모,841114-1114068,"전북 군산 미룡동900-1미룡3주공@318-901",2002-03-01,N,P095
A211331,048,김한준,840914-1164004,"전주시 서신동비사벌아파트101동201호  T.063-278-9796",2002-03-01,N,P049
A211339,023,박해동,821030-1134510,"전북익산영등동682동신@105-405호  T.063-855-1516",2002-03-01,N,P047
A211348,052,신허승,830508-1179932,"전북익산시동산동87-2삼호@5-1001  T.063-544-2206",2002-03-01,N,P011
A211375,021,최허현,841102-1154425,"전주시덕진구송천동1가119-7   T.010-3908-8094",2002-03-01,N,P081
A213026,016,나영우,840429-1137356,"전주시 평화동1가 737-12",2002-03-01,Y,P101
A213046,018,서가람,830530-2124663,"경기도 군포시 산본동 1052번지 대림아파트 724-301호",2002-03-01,N,P095
A213066,043,윤영우,841122-1128518,전주시완산구서신동965-3감나무골대우대창@102-305,2002-03-01,N,P023
A213128,060,주강민,840808-1165595,"경기도 양평군 양평읍 회현리 591-6번지",2002-03-01,N,P077
A215020,014,김주현,820211-1147771,서울시양천구목동315-89,2002-03-01,Y,P072
A215033,052,김주형,840518-1113613,"서울동작구사당동105번지 신동아@404/1206",2002-03-01,Y,P109
A215140,010,심주환,820401-1169227,"서울시 강서구 방화3동 방화5단지 504-1001",2002-03-01,Y,P022
A215167,034,이준경,840217-1158173,서울송파구신천동11삼미아파트26-810,2002-03-01,Y,P106
A215189,041,이준석,820809-1166334,경기도안산시단원구주공@536/104,2002-03-01,N,P059
A215197,012,이준영,830620-1165638,"경기도 성남시 분당구이매동 성지a701/202",2002-03-01,N,P034
A215224,049,정준영,841213-1114238,"서울시 서초구 서초동 신동아@7-308",2002-03-01,N,P106
A215247,060,추준영,830228-1150667,서울시노원구중계본동진로대림@1003,2002-03-01,N,P059
A215250,037,현준영,830828-1135194,경기도안산시동안구비산동浙@205/1007,2002-03-01,N,P080
A217005,047,고수현,821119-2122202,전주시완산구중화산동1가동남삼정아파트2동303호,2002-03-01,N,P032
A217081,019,신숙희,840919-2133319,"전주시 완산구 효자동3가 서곡 현대 APT  103/101",2002-03-01,Y,P037
A217087,029,안순필,830109-2106936,전주시완산구효자동1가유진청하아파트B동202호,2002-03-01,N,P093
A217201,058,황숭인,830603-1110188,"전주시 덕진구 진북동 우성ⓐ 110/303",2002-03-01,N,P059
A217214,009,김승겸,840815-1137815,"전주시 송천동1가 101-3 신일ⓐ 101/803",2002-03-01,N,P001
A219089,060,양은우,830412-1156522,서울강동구성래동387-34,2002-03-01,N,P094
A219131,058,임장우,820618-1111662,대전서구둔산동909수정타운10-1106,2002-03-01,N,P070
A222007,047,김정호,840225-1125451,"부산시 사상구 주례동 럭키A 15-804",2002-03-01,N,P014
A231068,009,김민식,820703-1143154,"경기도 시흥시 신천동 846-32 동완하이츠빌 A-202",2002-03-01,N,P081
A231111,018,라동현,820810-1107686,"경기도 고양시 일산구 마두동 839-5 갤러리 환",2002-03-01,N,P072
A231121,026,박민화,830615-2156900,"부산광역시 사상구 덕포2동 785-2 2층화실",2002-03-01,N,P094
A231132,016,박민희,821206-2147046,"서울시 영등포구 신길3동 우성아파트 107-1208",2002-03-01,N,P092
A231146,062,박동환,840501-1177350,"인천광역시 부평구 부평1동 65-7 욱일아파트 4-309",2002-03-01,N,P096
A231162,032,송박선,831002-2133398,"인천광역시 남동구 만수6동 1086-1 이삭아파트 101동 보육시설 10호",2002-03-01,N,P005
A231165,038,송동훈,840210-1107338,"서울시 강동구 성내동 452-3 신호빌라트 501호",2002-03-01,Y,P112
A231171,013,신두상,840202-1178511,"서울시 송파구 가락동 금호아파트 101-607호",2002-03-01,N,P002
A231188,005,오두용,830601-2148412,"경기도 성남시 분당구 정자동 우성아파트 405-1902",2002-03-01,N,P016
A231190,030,오득래,841225-2161953,"서울시 양천구 목3동 618-9 2층",2002-03-01,Y,P053
A231200,055,유번닉,840717-1141558,"서울시 송파구 문정동 150 훼미리아파트 27-103",2002-03-01,N,P074
A231218,050,윤리나,831124-2171993,"인천광역시 남동구 구월동 1249-4 (4층)",2002-03-01,N,P094
A231253,061,이범희,841225-2151961,"경기도 광주시 초월면 쌍동리 253-9 매경빌리지 A동 401호",2002-03-01,N,P011
A231290,051,전미진,830604-2165207,"서울시 노원구 월계3동 성원아파트 403-1204",2002-03-01,N,P008
A241004,038,김희훈,841017-1100336,"인천시 부평구 십정 1동 323- 19호",2002-03-01,N,P011
A241053,028,이희수,820516-2125497,"경기도 광주시 오도읍 신현3리 588-12",2002-03-01,N,P103
A241056,020,이희진,820403-1100400,"서울 용산구 보광동 258-8 CC 미용실",2002-03-01,N,P027
A242015,020,박철웅,840211-1143465,"서울 동작구 상도동 196-91",2002-03-01,N,P050
A246039,041,유인상,820401-1100741,서울송파구문정동150올림픽훼밀리타운아파트301-1501,2002-03-01,N,P087
A246042,005,윤잔디,830320-2172499,충북보은군내속리면사내리209,2002-03-01,N,P043
A246054,024,정인수,840227-1150703,서울강동구길동160신동아아파트8-802,2002-03-01,N,P047
A247009,054,김원석,820717-1120975,경북포항시남구지곡동472효자그린아파트101-201,2002-03-01,Y,P113
A247047,031,이원식,840305-1116545,경남진주시초전동1431-3청구아파트105-905,2002-03-01,N,P067
A247062,035,전원영,840404-2177743,경북포항시남구대잠동986-6,2002-03-01,N,P048
A247067,058,최원희,821219-2100966,"경북 포항시 북구 용흥1동 우방타운ⓐ 124/1208",2002-03-01,N,P065
A247068,049,심유경,830704-2124881,전북익산시신동816-1신동아아파트16-304,2002-03-01,N,P075
A250028,060,이은경,841201-2138646,"서울시송파구 잠실동 101-1 우성@ 9-905",2002-03-01,N,P031
A257021,025,송재현,840811-1122077,서울광진구자양동783우성아파트701-114,2002-03-01,N,P079
A271019,015,양정아,840715-2168233,"경기도 안양시 만안구 박달동 극동ⓐ 1/906",2002-03-01,N,P028
A274030,027,하성태,840813-1156195,"광주시 서구 화정3동 836-3 박성규 수학교실",2002-03-01,N,P029
A282017,013,김성원,830119-1136291,"대전시 유성구 장동 171 한국해양개발시스템 연구본부",2002-03-01,N,P061
A290024,051,나영운,820316-2156283,서울강동구명일동42우성아파트8-1002,2002-03-01,N,NULL
A311003,046,강혁로,840802-1167228,전주시덕진구진북동363-21,2003-03-01,N,P103
A311045,047,김현구,830930-1112281,"전북 완주군 이서면 갈산리 526",2003-03-01,N,P023
A311056,026,김현기,840219-1167829,"전주시 완산구 서신동 대우ⓐ 102/1301  T.063-640-2114",2003-03-01,N,P078
A311084,017,김현미,830505-2134343,"전북순창군금과면모정리178(20통2반)   T063-652-6342",2003-03-01,N,P078
A311128,020,박현민,851111-1178867,"전주시 진북동 우성ⓐ 113/1305    T.063-277-2898",2003-03-01,N,P003
A311138,003,서현범,840606-1140627,"수원시 장안구 정자동879-1백석마을성지@545-1803",2003-03-01,N,P092
A311173,033,엄현석,851119-1108822,"경기도 군포시 당정동 876 퇴계ⓐ 361/105  T.02-6325-3114",2003-03-01,N,P068
A311250,057,이현성,830213-1116293,"인천부평구산곡동311-126현대@212-204  T.032-505-9339",2003-03-01,N,P091
A311251,030,이현성,841228-1126108,"서울시 구로구 고척동 100",2003-03-01,N,P003
A311294,057,조현승,850522-1101762,"경기 안산 상록구 사동1312-5",2003-03-01,N,P098
A313047,008,손건영,840718-1164847,"인천광역시 남동구 논현동 풍림아파트 107-1205",2003-03-01,N,P034
A315125,025,백준용,830601-1107352,서울시영등포구여의도동한양아파트B동304,2003-03-01,N,P104
A315129,023,서준우,830815-1159069,"경기도 고양시일산구주엽동문촌마을1406/1103호",2003-03-01,Y,P009
A315194,009,이준원,851112-1109137,서울시서초구반포2동신반포@10/505,2003-03-01,N,P099
A315323,055,김준일,850916-1102771,경기도김포시장기동1070-8,2003-03-01,N,P106
A315341,004,이준형,840809-1137226,서울종로구연지동136-56전국기독교연합회관,2003-03-01,N,P076
A317107,021,유승미,830504-2150605,"경기도 수원시 권선구 곡반정동 한솔APT108/602",2003-03-01,N,P009
A317120,029,이승수,850515-1175418,"서울시 강동구 성내1동 537-20화산산업",2003-03-01,N,P015
A317161,053,정승수,850712-1178490,"서울시 용산구 갈월동 98-38 청룡빌딩5층 SGS",2003-03-01,N,P034
A317201,001,한승엽,830130-1160985,"고양시 일산구 백석동 1316번지 현대밀라트1차 B동515호",2003-03-01,N,P051
A317204,049,한승완,851102-1136484,인천시연수구연수동579대우1차아파트102동201호,2003-03-01,N,P007
A317215,046,김승우,840604-1147012,"서울시 양천구 신월동 987-1 신월시영APT 7/809",2003-03-01,N,P046
A317222,020,박승우,830618-1101120,"경기 군포시 산본동 백두동성apt 958동 1802호",2003-03-01,N,P048
A319069,005,박현우,841107-1115138,경기시흥장곡동828번지진말대우@118-1702,2003-03-01,N,P077
A319070,035,박장욱,830411-1137784,부산동래구명장동507-20,2003-03-01,N,P029
A319152,054,정장윤,830405-1142623,울산동구서부동257-4현대패밀리서부아파트121-1407,2003-03-01,N,P008
A319187,041,송재무,840706-1106197,전북무주군무주읍읍내리797,2003-03-01,N,P100
A322013,039,김현욱,840908-1134172,경기과천부림동41주공@318-901,2003-03-01,N,P019
A322027,045,오현일,830707-1157637,경기파주교하읍와동리205운전2차동문@208-303,2003-03-01,N,P109
A331017,042,고리나,851030-2169692,"경기도 안산시 상록구 사동 푸르지오6차 610-104",2003-03-01,N,P075
A331019,010,권병국,850720-1147333,"경기도 용인시 양지면 주북리 50-1호",2003-03-01,N,P087
A331076,060,김리나,851201-2117312,"서울시 송파구 오금동 현대아파트 44동 1001호",2003-03-01,N,P072
A331083,018,김명도,851005-1158055,"경기도 기흥시 기흥구 구발동 556-3 강남큰빛유치원",2003-03-01,N,P083
A331086,049,김명철,840326-1148449,"부산광역시 북구 만덕3동 909-8 19/2번지 102호",2003-03-01,N,P106
A331087,048,김명철,841009-1146070,"경기도 포천시 군내면 좌의리 402-1",2003-03-01,N,P102
A331090,048,김명환,840828-1105444,"경기도 군포시 산본동 백두한양아파트 997-302",2003-03-01,N,P055
A331092,024,김명훈,850219-1125217,"서울시 송파구 송파2동 166 삼익아파트 203-1106호",2003-03-01,N,P096
A331101,053,김명훈,830816-1135754,"경기도 성남시 분당구 서현동 87 삼성아파트 110-802호",2003-03-01,N,P102
A331103,035,김명희,840720-2107577,"경기도 파주시 교하면 와동리 375-3",2003-03-01,N,P013
